Especie ID;Nombre científico ;Nombre común;Clase;RCE;ID Noticia;URL;Fuente;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tiene foto;Tono predominante
1;Acanthogonatus hualpen;Araña (genérico);Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
2;Aegla denticulata;pancora;Malacostraca;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
3;Aegla papudo ;piñacha, pancora, pancora de Papudo;Malacostraca;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
4;Alsodes laevis;sapo de pecho espinoso de Potrero;Amphibia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
5;Alsodes norae;rana de pecho espinoso de Oncol;Amphibia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
6;Alsodes vittatus;sapo de pecho espinoso de Malleco;Amphibia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
7;Ambrosiella kuscheli;caracol;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
8;Anaperochernes ambrosianus;seudoescorpión;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
9;Aphrastura masafuerae;rayadito de Más Afuera;Aves;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
10;Biomphalaria costata;caracol de agua dulce;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
11;Brachistosternus philippii;escorpión de Philippi;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
12;Callisphyris ficheti;sierra del Orocoipo;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
13;Callyntra hibrida;cascarudo híbrido o cascarudo del Poqui;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
14;Chelanops pugil;seudoescorpión;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
15;Chellius piramidalis;caracol de concha piramidal;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
16;Chiasognathus jousselini;cantárida, ciervo volante peludo;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
17;Chilina angusta;caracol de Paposo;Gasotropoda;CR;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;0;Alerta
17;Chilina angusta;caracol de Paposo;Gasotropoda;CR;Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta;El Mostrador;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;0;Alerta
17;Chilina angusta;caracol de Paposo;Gasotropoda;CR;Pingüino de Humboldt y especies endémicas en Chile aumentan riesgo de extinción;Cooperativa Ciencia;https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
18;Cnemalobus pegnai;;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
19;Ectinogonia barrigai;balita de Barriga, bupréstido de Barriga;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
20;Entomochilus wilsoni;tenebrio de Wilson, teatino de Wilson;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
21;Euathlus antai;araña pollito, tarántula;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
22;Euathlus atacama;araña pollito, tarántula;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
23;Euathlus condorito;araña pollito, tarántula;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
24;Euathlus parvulus;tarántula enana, araña pollito;Arachnida;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Estudio advierte cómo el picaflor de Arica está perdiendo su hábitat debido a los monocultivos;BioBioChile;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Solo quedan 400: Crean microreserva de más de 15 hectáreas para proteger al picaflor de Arica;Ladera Sur;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;0;1;Nacional;1;1;Conservación
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Picaflor de Arica en peligro: Monocultivos amenazan su hábitat;Cooperativa.cl;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Alertan pérdida de hábitat del picaflor de Arica por expansión de monocultivos en valles del norte;El Mostrador;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Crean microreserva de más de 15 hectáreas para proteger a picaflor de Arica, especie que está peligro crítico de extinción;The Clinic;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theclinic.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Conservación
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Picaflor de Arica pierde terreno: Estudio alerta impacto de monocultivos en Azapa, ¿qué hacer?;Fundación Terram;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Regional;1;1;Alerta
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Estudio advierte pérdida de hábitat del picaflor de Arica por expansión agrícola;Cooperativa Ciencia;https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
25;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;Picaflor de Arica en peligro crítico: estudio alerta impacto de la agricultura intensiva;Canal 9 Bío Bío Televisión;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.canal9.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;0;1;Nacional;1;1;Crítico
26;Geranoaetus polyosoma exsul;aguilucho de Más Afuera, aguilucho de Juan Fernández, blindado;Aves;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
27;Heleobia atacamensis;caracol;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
28;Heleobia transitoria;caracol;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
29;Liolaemus confusus;lagartija de Lolol;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
30;Liolaemus curis;lagarto negro;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
31;Liolaemus hermannunezi;lagartija de Herman Núñez;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
32;Liolaemus melaniceps;lagartija;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
33;Liolaemus normae;lagarto leopardo de Norma, lagarto de los cristales;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
34;Nigroperla costalis;;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
35;Nycterinus penai;tenebrio de Peña, teatino de Peña;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
36;Omalonyx gayana;caracol terrestre Omalonyx;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
37;Orestias gloriae;pez (genérico);Actinopterygii;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
38;Orestias piacotensis;karachi;Actinopterygii;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
39;Palmaspis jubae;Escama  gigante de palma chilena;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
40;Paraholopterus nahuelbutensis;;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
41;Phymaturus alicahuense;matuasto de Alicahue;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
42;Phymaturus vociferator;matuasto del Laja, matuasto vociferador;Reptilia;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
43;Pichikadi hualpensis;caracol costilludo de Hualpén;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
44;Praocis medvedevi;;Insecta;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Equipo UM logró que el “Lagarto gruñidor de Álvaro” sea considerado “en peligro crítico de extinción”;Diario Mayor;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariomayor.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción;Fundación Terram;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Ministra Rojas expone dramático estado del pingüino de Humboldt, lagarto gruñidor y otras 70 especies;El Desconcierto;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;0;1;Nacional;1;0;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta;El Mostrador;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;0;Alerta
45;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;Pingüino de Humboldt y especies endémicas en Chile aumentan riesgo de extinción;Cooperativa Ciencia;https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;1;1;Nacional;1;1;Alerta
46;Pseudorestias lirimensis;pez (genérico);Actinopterygii;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
47;Punctum conicum;caracol terrestre Punctum;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
48;Punctum depressum;caracol terrestre Punctum;Gastropoda;CR;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos;Sin datos
49;Rhinoderma rufum;ranita ;Amphibia;CR;Revelan cómo el hongo quítrido se propaga y empuja a la ranita de Darwin a la extinción en Chile;El Mostrador;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;0;1;Nacional;0;0;Crítico
