ID;Nombre usado para busqueda;Titular;Fuente;Logo ;Link;Vista previa;Miniatura;Fecha;iso_date;Revisado
17;caracol de Paposo;Pingüino de Humboldt y especies endémicas en Chile aumentan riesgo de extinción;Cooperativa Ciencia;https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.cooperativaciencia.cl/medio-ambiente/2025/10/20/pinguino-de-humboldt-y-especies-endemicas-en-chile-aumentan-riesgo-de-extincion/;https://www.cooperativaciencia.cl/wp-content/uploads/2025/10/P.-DE-HUMBOLDT-3-768x512.jpg;https://news.google.com/api/attachments/CC8iL0NnNUNjMnh6UldGSmIyazNRa05SVFJERUF4aW1CU2dLTWdrQk1vU0tPYU81Y0FF;10/20/2025, 07:00 AM, +0000 UTC;20-10-2025;si
17;caracol de Paposo;Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta;El Mostrador;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2025/10/28/especies-en-riesgo-pinguino-de-humboldt-lagarto-de-alvaro-y-plantas-de-juan-fernandez-en-alerta/;https://media-front.elmostrador.cl/2025/10/Editar-imagenes-2-16-700x350.png;https://news.google.com/api/attachments/CC8iK0NnNWtXRlJ0T0RGM2MwSlBNMHRTVFJEZUFoaThCU2dLTWdZZE1JUUxvZ2c;10/28/2025, 07:00 AM, +0000 UTC;28-10-2025;
24;tarántula enana, araña pollito;Araña pollito: El mapa de las regiones desde Atacama al Biobío donde habita y protege el ecosistema;elmorrocotudo.cl;https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.elmorrocotudo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.elmorrocotudo.cl/noticia/sociedad/arana-pollito-el-mapa-de-las-regiones-desde-atacama-al-biobio-donde-habita-y-proteg;https://cdn.elmorrocotudo.cl/sites/elmorrocotudo.cl/files/imagecache/380x285/imagen_noticia/arana_pollito_de_atacama_al_biobio_vive_y_protege_el_ecosistema_de_nuestro_aracnido.png;https://news.google.com/api/attachments/CC8iK0NnNTZSVEJUU1ZneU16UlpjRVJWVFJDZEFoaVFBeWdLTWdhQmNJelFzQVU;03/22/2026, 04:13 PM, +0000 UTC;22-03-2026;
25;Eulidia yarrellii;Alertan pérdida de hábitat del picaflor de Arica por expansión de monocultivos en valles del norte;El Mostrador;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.elmostrador.cl/cultura/ciencia-cultura/2026/03/05/alertan-perdida-de-habitat-del-picaflor-de-arica-por-expansion-de-monocultivos-en-valles-del-norte/;https://media-front.elmostrador.cl/2026/03/unnamed-124-700x467.jpg;https://news.google.com/api/attachments/CC8iK0NnNW1NVkIxYTBzMlpEZ3dZazVIVFJERUF4aW1CU2dLTWdhQk1ZSndJUWc;03/05/2026, 08:00 AM, +0000 UTC;05-03-2026;
25;Eulidia yarrellii;Estudio advierte cómo el picaflor de Arica está perdiendo su hábitat debido a los monocultivos;BioBioChile;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/medio-ambiente-cyt/2026/03/16/estudio-advierte-como-el-picaflor-de-arica-esta-perdiendo-su-habitat-debido-a-los-monocultivos.shtml;https://media.biobiochile.cl/wp-content/uploads/2026/03/picaflor-de-arica-750x400.jpg;https://news.google.com/api/attachments/CC8iK0NnNTVZbXczZDNwYVVrdzNZWEZ1VFJDUUF4anVCU2dLTWdhdGhJN1B0UVk;03/16/2026, 07:00 AM, +0000 UTC;16-03-2026;
25;Eulidia yarrellii;Solo quedan 400: Crean microreserva de más de 15 hectáreas para proteger al picaflor de Arica;Ladera Sur;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://laderasur.com/articulo/solo-quedan-400-crean-microreserva-de-mas-de-15-hectareas-para-proteger-al-picaflor-de-arica/;https://laderasur.com/wp-content/uploads/2026/02/picaflordearica-tamaracatalanbermudez-inaturalist-.jpg;https://news.google.com/api/attachments/CC8iK0NnNVVNRTFTTFc0M1dHMU9OalZ6VFJERUF4aW1CU2dLTWdZSmdwRHJNUWM;02/25/2026, 08:00 AM, +0000 UTC;25-02-2026;
25;Eulidia yarrellii;Estudio advierte pérdida de hábitat del picaflor de Arica por expansión agrícola;Cooperativa Ciencia;https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.cooperativaciencia.cl/medio-ambiente/2026/03/12/estudio-advierte-perdida-de-habitat-del-picaflor-de-arica-por-expansion-agricola/;https://www.cooperativaciencia.cl/wp-content/uploads/2026/03/jcr_content-720x480.jpg;https://news.google.com/api/attachments/CC8iK0NnNVNielZqZGxnM1ozY3hMVzFxVFJERUF4aW1CU2dLTWdhQk1ZSndJUWc;03/12/2026, 07:00 AM, +0000 UTC;12-03-2026;
25;Eulidia yarrellii;Picaflor de Arica pierde terreno: Estudio alerta impacto de monocultivos en Azapa, ¿qué hacer?;Fundación Terram;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.terram.cl/picaflor-de-arica-pierde-terreno-estudio-alerta-impacto-de-monocultivos-en-azapa-que-hacer/;https://www.terram.cl/wp-content/uploads/2026/03/picaflor_de_arica_pierde_terreno_estudio_alerta_impacto_de_monocultivos_en_azapa_que_hacer.jpg;https://news.google.com/api/attachments/CC8iI0NnNDNObGw0Ym1sQ01rMVhYMDlKVFJDZEFoaVFBeWdLTWdB;03/05/2026, 08:00 AM, +0000 UTC;05-03-2026;
25;Eulidia yarrellii;El desierto que se vuelve invernadero: la agricultura intensiva acorrala al picaflor de Arica;Meteored Chile;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.meteored.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.meteored.cl/noticias/ciencia/el-desierto-que-se-vuelve-invernadero-la-agricultura-intensiva-acorrala-al-picaflor-de-arica.html;https://services.meteored.com/img/article/el-desierto-que-se-vuelve-invernadero-la-agricultura-intensiva-acorrala-al-picaflor-de-arica-1774461096703_512.jpg;https://news.google.com/api/attachments/CC8iK0NnNXdMVkpMVkVaWVVERXdUblZLVFJEb0FoaUFCQ2dLTWdZQlFvU1BvUWc;03/25/2026, 07:00 AM, +0000 UTC;25-03-2026;
25;Eulidia yarrellii;Picaflor de Arica en peligro: Monocultivos amenazan su hábitat;Cooperativa.cl;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.cooperativa.cl/noticias/pais/medioambiente/animales/picaflor-de-arica-en-peligro-monocultivos-amenazan-su-habitat/2026-03-04/154152.html;https://www.cooperativa.cl/noticias/site/artic/20260304/imag/foto_0000000120260304154152.jpg;https://news.google.com/api/attachments/CC8iK0NnNVVXRmxVUjBGeGNYVnhXSFpaVFJDZkF4ampCU2dLTWdhQklvSnduUWs;03/04/2026, 08:00 AM, +0000 UTC;04-03-2026;
25;Eulidia yarrellii;Crean microreserva de más de 15 hectáreas para proteger a picaflor de Arica, especie que está peligro crítico de extinción;The Clinic;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theclinic.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.theclinic.cl/2026/02/25/crean-microreserva-de-mas-de-15-hectareas-para-proteger-a-picaflor-de-arica-especie-que-esta-peligro-critico-de-extincion/;https://static.theclinic.cl/media/2026/02/24-204236_638t_FotoJet-42.jpg;https://news.google.com/api/attachments/CC8iK0NnNDNOVUZLV1RCQlNXUTVabEZNVFJDWEF4anlCU2dLTWdZaFFvcnNIUWc;02/25/2026, 08:00 AM, +0000 UTC;25-02-2026;
25;picaflor de Arica, estrellita chilena;Estudio U. de Chile alerta pérdida de hábitat del picaflor de Arica por expansión de monocultivos en valles del norte;Universidad de Chile;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://uchile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://uchile.cl/noticias/237158/estudio-u-de-chile-alerta-perdida-de-habitat-del-picaflor-de-arica;https://portaluchile.uchile.cl//.imaging/default/dam/imagenes/Uchile/VEXCOM/ENERO-2026/OneDrive_2026-01-28.zip/Picaflor-de-Arica/Picaflor-de-Arica-1-L.jpg/jcr:content.jpg;https://news.google.com/api/attachments/CC8iJ0NnNWlTRk5oZVZKWU5WODJNR1EyVFJDb0FSaXNBaWdCTWdNdHRSWQ;01/28/2026, 08:00 AM, +0000 UTC;28-01-2026;
25;picaflor de Arica, estrellita chilena;Picaflor de Arica en peligro crítico: estudio alerta impacto de la agricultura intensiva;Canal 9 Bío Bío Televisión;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.canal9.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.canal9.cl/episodios/nuestra-casa/2026/03/20/picaflor-de-arica-en-peligro-critico-estudio-alerta-impacto-de-la-agricultura-intensiva;https://media.canal9.cl/2026/03/Picaflor-de-Arica-Foto-de-Clauyio-Artesanias.jpg;https://news.google.com/api/attachments/CC8iK0NnNURRVkJEWkRBNVRGSnBka05HVFJDZkF4ampCU2dLTWdZbFJZN3NvUWc;03/20/2026, 07:00 AM, +0000 UTC;20-03-2026;
45;Pristidactylus alvaroi;Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción;Fundación Terram;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.terram.cl/declaran-al-lagarto-grunidor-de-alvaro-especie-endemica-chilena-en-peligro-critico-de-extincion/;https://www.terram.cl/wp-content/uploads/2025/12/Lagarto_GDA-768x506-1.jpg;https://news.google.com/api/attachments/CC8iK0NnNTJWV0ZWVUdwTFozVkJkV2t3VFJEQkF4aXFCU2dLTWdZQllvWlJ1UVk;12/02/2025, 08:00 AM, +0000 UTC;02-12-2025;
45;Pristidactylus alvaroi;Equipo UM logró que el “Lagarto gruñidor de Álvaro” sea considerado “en peligro crítico de extinción”;Diario Mayor;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariomayor.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.diariomayor.cl/creando-universidad/academicos/equipo-um-logro-que-el-lagarto-grunidor-de-alvaro-sea-considerado-en-peligro-critico-de-extincion;https://www.diariomayor.cl/images/lagarto_ok.jpg;https://news.google.com/api/attachments/CC8iK0NnNUdkMWxSV1dFeFNpMXZiRkp3VFJEQkF4aXFCU2dLTWdhQlVvZ3hvUWc;11/21/2025, 08:00 AM, +0000 UTC;21-11-2025;
45;Pristidactylus alvaroi;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.diariosustentable.com/2025/10/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-su-riesgo-de-extincion-en-chile/;https://i0.wp.com/www.diariosustentable.com/wp-content/uploads/2025/10/P.-DE-HUMBOLDT-4.jpg?fit=800%2C534&ssl=1&resize=350%2C200;https://news.google.com/api/attachments/CC8iNkNnNWlZVEE1VWs4MGJXSldWRk50VFJESUFSamVBaWdLTWc0QkFJUmp0V05UYXhxWnNWYlZGZw;10/21/2025, 07:00 AM, +0000 UTC;21-10-2025;
45;lagarto gruñidor de Álvaro;Pingüino de Humboldt, lagarto gruñidor y plantas endémicas de Juan Fernández aumentan riesgo de extinción;The Clinic;https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theclinic.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.theclinic.cl/2025/10/17/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-riesgo-de-extincion/;https://static.theclinic.cl/media/2025/10/17-222845_w3u0_Pinguino-de-Humboldt-1.jpg;https://news.google.com/api/attachments/CC8iK0NnNUhSVVphUlhwMVkyaFlOeTF6VFJDZkF4ampCU2dLTWdZVmtJSnBzZ2M;10/17/2025, 07:00 AM, +0000 UTC;17-10-2025;
45;lagarto gruñidor de Álvaro;Ministra Rojas expone dramático estado del pingüino de Humboldt, lagarto gruñidor y otras 70 especies;El Desconcierto;https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://eldesconcierto.cl/2025/10/18/ministra-rojas-expone-dramatico-estado-del-pinguino-de-humboldt-lagarto-grunidor-y-otras-70-especies;https://eldesconcierto.cl/media/24365-descubre-el-fascinante-mundo-de-los-pinguinos-de-humboldt-16.webp;https://news.google.com/api/attachments/CC8iK0NnNDBaMlZhU0RScmExZEtNbkp2VFJERUF4aW1CU2dLTWdZWlpJeHJMUWc;10/18/2025, 07:00 AM, +0000 UTC;18-10-2025;
49;ranita;Gobierno ultraderechista chileno da marcha atrás y protege a rana de Darwin;Infobae;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://www.infobae.com/america/agencias/2026/03/19/gobierno-ultraderechista-chileno-da-marcha-atras-y-protege-a-rana-de-darwin/;https://www.infobae.com/assets/images/logos/fallback-logo-infobae-naranja-1200x900.png;https://news.google.com/api/attachments/CC8iK0NnNXBVbWxxV25SbE5HaE5lRFJEVFJEZ0F4aUFCU2dLTWdZSmtwUXl2UWM;03/19/2026, 07:00 AM, +0000 UTC;19-03-2026;
51;Sephanoides fernandensis;Albatros, pingüinos y picaflores: los centinelas que revelan la salud de islas y océanos;Ladera Sur;https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL;https://laderasur.com/articulo/albatros-pinguinos-y-picaflores-los-centinelas-que-revelan-la-salud-de-islas-y-oceanos-protagonizan-una-charla-en-el-festival-ladera-sur/;https://laderasur.com/wp-content/uploads/2025/11/webbb-e1764861668666-1024x441.jpg;https://news.google.com/api/attachments/CC8iL0NnNTZhMUZxYkVRd1dYQnNXak51VFJEckFoak1CaWdLTWdrRk1ZTGxJdWcxOGdB;11/26/2025, 08:00 AM, +0000 UTC;26-11-2025;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
